TaxonomyInput	nb_genomes	Reads
376489	1	246
1515612	1	246
1529069	1	245
1717	1	245
913107	1	245
2487065	1	245
319707	1	245
29314	1	245
2070347	1	245
1851505	1	245
2006110	1	245
1714373	1	245
1658672	1	244
93064	1	244
1283	1	244
1536770	1	244
2686094	1	244
2665642	1	244
2594269	1	244
1582259	1	244
408139	1	244
1282737	1	244
1868325	1	243
207340	1	243
655307	1	243
1335	1	243
300019	1	243
656178	1	243
61646	1	243
60552	1	243
1555112	1	243
56455	1	243
2528642	1	242
739141	1	242
1860122	1	242
2572594	1	242
1536771	1	242
1914525	1	242
2282475	1	242
364410	1	242
665099	1	241
1936081	1	241
2565782	1	241
1570	1	241
2161816	1	241
1792307	1	241
1788	1	241
2653200	1	241
335406	1	241
1974213	1	240
2109915	1	240
2025949	1	240
40576	1	240
1784719	1	240
304207	1	240
82367	1	240
1030157	1	240
1850246	1	240
129921	1	239
262324	1	239
482462	1	239
1705617	1	239
2382161	1	239
692036	1	239
1543721	1	239
28141	1	239
2605946	1	239
2082949	1	239
1072256	1	239
1641402	1	238
1482	1	238
2529032	1	238
1578165	1	238
504	1	238
45658	1	238
2082385	1	238
568768	1	238
983548	1	238
1327635	1	237
556288	1	237
252967	1	237
1616117	1	237
2500547	1	237
1208324	1	237
1193713	1	237
296591	1	237
2082193	1	237
33945	1	237
1597	1	237
2712698	1	237
1325115	1	237
1442136	1	237
147802	1	236
1670800	1	236
2660750	1	236
227605	1	236
2494374	1	236
662548	1	236
1581557	1	236
980254	1	235
1915078	1	235
2304600	1	235
477641	1	235
1938607	1	235
35814	1	235
1333996	1	234
51669	1	234
2560053	1	234
28151	1	234
1523415	1	234
399497	1	234
2161747	1	233
1612173	1	233
744985	1	233
1182571	1	233
63	1	233
454601	1	232
1650658	1	232
1389713	1	232
266779	1	232
556499	1	232
1453352	1	232
53346	1	232
1149133	1	232
1620215	1	231
70775	1	231
1340425	1	231
2202149	1	231
1639348	1	230
2507159	1	230
1810504	1	230
1061	1	230
43767	1	229
292462	1	229
2010829	1	229
673	1	229
1396826	1	229
1325564	1	229
1583098	1	229
488729	1	228
42253	1	228
2565556	1	228
409322	1	228
248903	1	228
408015	1	228
319706	1	228
29542	1	228
194963	1	228
2304594	1	228
745310	1	228
614	1	228
2483798	1	227
499555	1	227
2587163	1	227
13689	1	227
36818	1	226
1871037	1	226
39691	1	226
1476901	1	226
119981	1	226
1470176	1	226
56453	1	226
1891279	1	226
2698684	1	225
1968541	1	225
2220095	1	225
2057800	1	225
1338368	1	224
368607	1	224
1917485	1	224
1922217	1	224
1768108	1	224
2490851	1	224
1617283	1	224
2652443	1	223
2018065	1	223
314281	1	223
1914461	1	223
1534349	1	223
2528007	1	223
45634	1	223
2496867	1	222
35841	1	222
1241979	1	222
1771309	1	222
36822	1	222
260554	1	222
319236	1	222
1446794	1	222
1944646	1	222
2686366	1	222
2600320	1	222
60550	1	221
1756988	1	221
248315	1	221
314275	1	221
712633	1	221
86185	1	221
2609252	1	220
313598	1	220
1771	1	220
46679	1	220
2163011	1	220
28258	1	220
2511995	1	220
2058134	1	220
2201350	1	220
1516059	1	220
120107	1	219
692370	1	219
1941349	1	219
1434191	1	219
960	1	219
2509341	1	219
48665	1	218
1813879	1	218
116090	1	218
1904944	1	218
2662361	1	218
1763535	1	218
2666100	1	218
64104	1	217
47960	1	217
37928	1	217
91604	1	217
208439	1	217
157783	1	217
1281	1	217
1325090	1	216
2041	1	216
2116657	1	216
1600	1	216
2708301	1	216
1548548	1	216
2509457	1	216
93378	1	216
2686361	1	215
571913	1	215
1833852	1	215
546160	1	215
1742359	1	215
133448	1	215
28172	1	215
28894	1	215
76936	1	215
2483033	1	215
1178482	1	215
1473112	1	214
1630135	1	214
1930276	1	214
2419774	1	214
652764	1	214
196162	1	214
2067957	1	214
2033033	1	214
1580596	1	214
332101	1	214
2509675	1	214
1173027	1	214
233316	1	213
1249553	1	213
47715	1	213
373	1	213
881260	1	213
2675225	1	213
320497	1	213
2005469	1	213
216929	1	212
1806905	1	212
2493673	1	212
2546351	1	212
33899	1	212
1402	1	212
134	1	212
2202827	1	212
326523	1	212
1648404	1	212
99598	1	212
1016987	1	211
2603276	1	211
157779	1	211
664962	1	211
279828	1	211
1783515	1	211
1736674	1	211
1548547	1	211
2583851	1	211
266749	1	210
703	1	210
1604	1	210
357808	1	210
2048283	1	209
2686304	1	209
2594265	1	209
2590016	1	209
2589797	1	209
2583243	1	209
712357	1	209
739	1	208
1078471	1	208
88688	1	208
1411902	1	208
2136401	1	208
38310	1	208
288004	1	208
1982042	1	208
84022	1	207
116188	1	207
106370	1	207
2026785	1	207
1965282	1	207
2583587	1	207
2587855	1	207
1891644	1	207
1498	1	206
445576	1	206
1867719	1	206
1616788	1	206
1223566	1	206
758802	1	206
74033	1	205
1714849	1	205
2676077	1	205
1783501	1	205
2558918	1	205
2603206	1	205
2169400	1	205
1312183	1	204
1708	1	204
1535768	1	204
183795	1	204
359	1	204
330214	1	204
1855875	1	204
1909293	1	204
61645	1	204
199591	1	204
580165	1	204
857417	1	203
1348774	1	203
1812935	1	203
1599	1	203
290400	1	203
82348	1	202
48664	1	202
1323375	1	202
2596890	1	202
1458426	1	202
2068654	1	201
2028345	1	201
2572577	1	201
2579935	1	201
1076596	1	201
2518370	1	201
2594004	1	201
1302308	1	201
1811807	1	201
204038	1	201
1288	1	201
471827	1	201
1229727	1	201
670052	1	201
2487074	1	200
1932	1	200
1808979	1	200
1007105	1	200
2293838	1	200
145458	1	200
2575375	1	200
2495645	1	200
1028416	1	200
930805	1	200
